event_id,timestamp,device_id,query_domain,query_type,response_code,threat_intel_flag
dns_evt_000053,2026-01-01T00:53:00+00:00,endpoint_0621,service-53.synthetic.example,TXT,NOERROR,False
dns_evt_000054,2026-01-01T00:54:00+00:00,endpoint_0179,service-54.synthetic.example,AAAA,NOERROR,False
dns_evt_000055,2026-01-01T00:55:00+00:00,endpoint_0875,service-55.synthetic.example,AAAA,NOERROR,False
dns_evt_000056,2026-01-01T00:56:00+00:00,endpoint_0312,service-56.synthetic.example,A,NOERROR,False
dns_evt_000057,2026-01-01T00:57:00+00:00,endpoint_0738,service-57.synthetic.example,AAAA,NXDOMAIN,False
dns_evt_000058,2026-01-01T00:58:00+00:00,endpoint_0154,service-58.synthetic.example,A,NOERROR,False
dns_evt_000059,2026-01-01T00:59:00+00:00,endpoint_0882,service-59.synthetic.example,A,NOERROR,False
dns_evt_000060,2026-01-01T01:00:00+00:00,endpoint_0604,service-60.synthetic.example,A,NOERROR,False
dns_evt_000061,2026-01-01T01:01:00+00:00,endpoint_0788,service-61.synthetic.example,A,NOERROR,False
dns_evt_000062,2026-01-01T01:02:00+00:00,endpoint_0796,service-62.synthetic.example,TXT,NOERROR,False
dns_evt_000063,2026-01-01T01:03:00+00:00,endpoint_0112,service-63.synthetic.example,TXT,NOERROR,False
dns_evt_000064,2026-01-01T01:04:00+00:00,endpoint_0766,service-64.synthetic.example,A,NXDOMAIN,False
dns_evt_000065,2026-01-01T01:05:00+00:00,endpoint_0676,service-65.synthetic.example,A,NOERROR,False
dns_evt_000066,2026-01-01T01:06:00+00:00,endpoint_0450,service-66.synthetic.example,TXT,NXDOMAIN,False
dns_evt_000067,2026-01-01T01:07:00+00:00,endpoint_0485,service-67.synthetic.example,TXT,NOERROR,False
dns_evt_000068,2026-01-01T01:08:00+00:00,endpoint_0111,service-68.synthetic.example,A,NOERROR,False
dns_evt_000069,2026-01-01T01:09:00+00:00,endpoint_0602,service-69.synthetic.example,AAAA,NOERROR,False
dns_evt_000070,2026-01-01T01:10:00+00:00,endpoint_0019,service-70.synthetic.example,AAAA,NOERROR,False
dns_evt_000071,2026-01-01T01:11:00+00:00,endpoint_0542,service-71.synthetic.example,AAAA,NOERROR,False
dns_evt_000072,2026-01-01T01:12:00+00:00,endpoint_0330,service-72.synthetic.example,TXT,NXDOMAIN,False
dns_evt_000073,2026-01-01T01:13:00+00:00,endpoint_0724,service-73.synthetic.example,A,NOERROR,False
dns_evt_000074,2026-01-01T01:14:00+00:00,endpoint_0671,service-74.synthetic.example,TXT,NOERROR,False
dns_evt_000075,2026-01-01T01:15:00+00:00,endpoint_0869,service-75.synthetic.example,A,NOERROR,False
dns_evt_000076,2026-01-01T01:16:00+00:00,endpoint_0634,service-76.synthetic.example,TXT,NOERROR,False
dns_evt_000077,2026-01-01T01:17:00+00:00,endpoint_0029,service-77.synthetic.example,AAAA,NOERROR,False
dns_evt_000078,2026-01-01T01:18:00+00:00,endpoint_0591,service-78.synthetic.example,TXT,NOERROR,False
dns_evt_000079,2026-01-01T01:19:00+00:00,endpoint_0564,service-79.synthetic.example,TXT,NOERROR,False
dns_evt_000080,2026-01-01T01:20:00+00:00,endpoint_0028,service-80.synthetic.example,TXT,NOERROR,False
dns_evt_000081,2026-01-01T01:21:00+00:00,endpoint_0807,service-81.synthetic.example,AAAA,NOERROR,False
dns_evt_000082,2026-01-01T01:22:00+00:00,endpoint_0664,service-82.synthetic.example,TXT,NOERROR,False
dns_evt_000083,2026-01-01T01:23:00+00:00,endpoint_0924,service-83.synthetic.example,AAAA,NOERROR,False
dns_evt_000084,2026-01-01T01:24:00+00:00,endpoint_0972,service-84.synthetic.example,A,NOERROR,False
dns_evt_000085,2026-01-01T01:25:00+00:00,endpoint_0402,service-85.synthetic.example,A,NOERROR,False
dns_evt_000086,2026-01-01T01:26:00+00:00,endpoint_0704,service-86.synthetic.example,A,NOERROR,False
dns_evt_000087,2026-01-01T01:27:00+00:00,endpoint_0246,service-87.synthetic.example,A,NOERROR,False
dns_evt_000088,2026-01-01T01:28:00+00:00,endpoint_0794,service-88.synthetic.example,AAAA,NOERROR,False
dns_evt_000089,2026-01-01T01:29:00+00:00,endpoint_0423,service-89.synthetic.example,TXT,NOERROR,False
dns_evt_000090,2026-01-01T01:30:00+00:00,endpoint_0789,service-90.synthetic.example,TXT,NOERROR,False
dns_evt_000091,2026-01-01T01:31:00+00:00,endpoint_0802,service-91.synthetic.example,AAAA,NOERROR,False
dns_evt_000092,2026-01-01T01:32:00+00:00,endpoint_0704,service-92.synthetic.example,TXT,NOERROR,False
dns_evt_000093,2026-01-01T01:33:00+00:00,endpoint_0569,service-93.synthetic.example,A,NXDOMAIN,False
dns_evt_000094,2026-01-01T01:34:00+00:00,endpoint_0795,service-94.synthetic.example,AAAA,NOERROR,False
dns_evt_000095,2026-01-01T01:35:00+00:00,endpoint_0054,service-95.synthetic.example,AAAA,NOERROR,False
dns_evt_000096,2026-01-01T01:36:00+00:00,endpoint_0919,service-96.synthetic.example,AAAA,NOERROR,False
dns_evt_000097,2026-01-01T01:37:00+00:00,endpoint_0583,service-97.synthetic.example,TXT,NOERROR,False
dns_evt_000098,2026-01-01T01:38:00+00:00,endpoint_0540,service-98.synthetic.example,A,NXDOMAIN,False
dns_evt_000099,2026-01-01T01:39:00+00:00,endpoint_0008,service-99.synthetic.example,A,NOERROR,False
dns_evt_000100,2026-01-01T01:40:00+00:00,endpoint_0234,service-100.synthetic.example,TXT,NOERROR,False
dns_evt_000101,2026-01-01T01:41:00+00:00,endpoint_0296,service-101.synthetic.example,AAAA,NOERROR,False
dns_evt_000102,2026-01-01T01:42:00+00:00,endpoint_0499,service-102.synthetic.example,TXT,NOERROR,False
dns_evt_000103,2026-01-01T01:43:00+00:00,endpoint_0910,service-103.synthetic.example,TXT,NOERROR,False
dns_evt_000104,2026-01-01T01:44:00+00:00,endpoint_0276,service-104.synthetic.example,TXT,NOERROR,False
dns_evt_000105,2026-01-01T01:45:00+00:00,endpoint_0299,service-105.synthetic.example,A,NOERROR,False
dns_evt_000106,2026-01-01T01:46:00+00:00,endpoint_0679,service-106.synthetic.example,A,NOERROR,False
dns_evt_000107,2026-01-01T01:47:00+00:00,endpoint_0325,service-107.synthetic.example,AAAA,NOERROR,False
dns_evt_000108,2026-01-01T01:48:00+00:00,endpoint_0560,service-108.synthetic.example,TXT,NOERROR,False
dns_evt_000109,2026-01-01T01:49:00+00:00,endpoint_0491,service-109.synthetic.example,AAAA,NOERROR,False
dns_evt_000110,2026-01-01T01:50:00+00:00,endpoint_0452,service-110.synthetic.example,AAAA,NOERROR,False
dns_evt_000111,2026-01-01T01:51:00+00:00,endpoint_0428,service-111.synthetic.example,A,NOERROR,False
dns_evt_000112,2026-01-01T01:52:00+00:00,endpoint_0194,service-112.synthetic.example,AAAA,NOERROR,False
dns_evt_000113,2026-01-01T01:53:00+00:00,endpoint_0025,service-113.synthetic.example,A,NOERROR,False
dns_evt_000114,2026-01-01T01:54:00+00:00,endpoint_0760,service-114.synthetic.example,AAAA,NOERROR,False
dns_evt_000115,2026-01-01T01:55:00+00:00,endpoint_0655,service-115.synthetic.example,AAAA,NOERROR,False
dns_evt_000116,2026-01-01T01:56:00+00:00,endpoint_0134,service-116.synthetic.example,A,NOERROR,False
dns_evt_000117,2026-01-01T01:57:00+00:00,endpoint_0895,service-117.synthetic.example,AAAA,NXDOMAIN,False
dns_evt_000118,2026-01-01T01:58:00+00:00,endpoint_0443,service-118.synthetic.example,AAAA,NOERROR,False
dns_evt_000119,2026-01-01T01:59:00+00:00,endpoint_0561,service-119.synthetic.example,AAAA,NOERROR,False
dns_evt_000120,2026-01-01T02:00:00+00:00,endpoint_0405,service-120.synthetic.example,TXT,NOERROR,False
dns_evt_000121,2026-01-01T02:01:00+00:00,endpoint_0379,service-121.synthetic.example,A,NOERROR,False
dns_evt_000122,2026-01-01T02:02:00+00:00,endpoint_0049,service-122.synthetic.example,TXT,NXDOMAIN,False
dns_evt_000123,2026-01-01T02:03:00+00:00,endpoint_0855,service-123.synthetic.example,TXT,NOERROR,False
dns_evt_000124,2026-01-01T02:04:00+00:00,endpoint_0027,service-124.synthetic.example,TXT,NOERROR,False
dns_evt_000125,2026-01-01T02:05:00+00:00,endpoint_0346,service-125.synthetic.example,A,NOERROR,False
dns_evt_000126,2026-01-01T02:06:00+00:00,endpoint_0141,service-126.synthetic.example,TXT,NOERROR,False
dns_evt_000127,2026-01-01T02:07:00+00:00,endpoint_0089,service-127.synthetic.example,A,NOERROR,False
dns_evt_000128,2026-01-01T02:08:00+00:00,endpoint_0088,service-128.synthetic.example,AAAA,NOERROR,False
dns_evt_000129,2026-01-01T02:09:00+00:00,endpoint_0848,service-129.synthetic.example,TXT,NOERROR,False
dns_evt_000130,2026-01-01T02:10:00+00:00,endpoint_0666,service-130.synthetic.example,TXT,NOERROR,False
dns_evt_000131,2026-01-01T02:11:00+00:00,endpoint_0900,service-131.synthetic.example,A,NOERROR,False
dns_evt_000132,2026-01-01T02:12:00+00:00,endpoint_0534,service-132.synthetic.example,A,NOERROR,False
dns_evt_000133,2026-01-01T02:13:00+00:00,endpoint_0953,service-133.synthetic.example,TXT,NOERROR,False
dns_evt_000134,2026-01-01T02:14:00+00:00,endpoint_0985,service-134.synthetic.example,AAAA,NOERROR,False
dns_evt_000135,2026-01-01T02:15:00+00:00,endpoint_0816,service-135.synthetic.example,AAAA,NOERROR,False
dns_evt_000136,2026-01-01T02:16:00+00:00,endpoint_0766,service-136.synthetic.example,TXT,NOERROR,False
dns_evt_000137,2026-01-01T02:17:00+00:00,endpoint_0279,service-137.synthetic.example,AAAA,NOERROR,False
dns_evt_000138,2026-01-01T02:18:00+00:00,endpoint_0624,service-138.synthetic.example,TXT,NOERROR,False
dns_evt_000139,2026-01-01T02:19:00+00:00,endpoint_0527,service-139.synthetic.example,TXT,NOERROR,False
dns_evt_000140,2026-01-01T02:20:00+00:00,endpoint_0075,service-140.synthetic.example,A,NXDOMAIN,False
dns_evt_000141,2026-01-01T02:21:00+00:00,endpoint_0498,service-141.synthetic.example,TXT,NOERROR,False
dns_evt_000142,2026-01-01T02:22:00+00:00,endpoint_0163,service-142.synthetic.example,A,NXDOMAIN,False
dns_evt_000143,2026-01-01T02:23:00+00:00,endpoint_0629,service-143.synthetic.example,TXT,NOERROR,False
dns_evt_000144,2026-01-01T02:24:00+00:00,endpoint_0162,service-144.synthetic.example,TXT,NOERROR,False
dns_evt_000145,2026-01-01T02:25:00+00:00,endpoint_0345,service-145.synthetic.example,A,NOERROR,False
dns_evt_000146,2026-01-01T02:26:00+00:00,endpoint_0487,service-146.synthetic.example,A,NOERROR,False
dns_evt_000147,2026-01-01T02:27:00+00:00,endpoint_0263,service-147.synthetic.example,AAAA,NOERROR,False
dns_evt_000148,2026-01-01T02:28:00+00:00,endpoint_0618,service-148.synthetic.example,A,NOERROR,False
dns_evt_000149,2026-01-01T02:29:00+00:00,endpoint_0891,service-149.synthetic.example,A,NOERROR,False
dns_evt_000150,2026-01-01T02:30:00+00:00,endpoint_0886,service-150.synthetic.example,TXT,NOERROR,False
dns_evt_000151,2026-01-01T02:31:00+00:00,endpoint_0734,service-151.synthetic.example,A,NOERROR,False
dns_evt_000152,2026-01-01T02:32:00+00:00,endpoint_0767,service-152.synthetic.example,A,NOERROR,False
dns_evt_000153,2026-01-01T02:33:00+00:00,endpoint_0266,service-153.synthetic.example,A,NOERROR,False
dns_evt_000154,2026-01-01T02:34:00+00:00,endpoint_0190,service-154.synthetic.example,AAAA,NOERROR,False
dns_evt_000155,2026-01-01T02:35:00+00:00,endpoint_0394,service-155.synthetic.example,A,NOERROR,False
dns_evt_000156,2026-01-01T02:36:00+00:00,endpoint_0718,service-156.synthetic.example,A,NOERROR,False
dns_evt_000157,2026-01-01T02:37:00+00:00,endpoint_0943,service-157.synthetic.example,AAAA,NOERROR,False
dns_evt_000158,2026-01-01T02:38:00+00:00,endpoint_0764,service-158.synthetic.example,AAAA,NOERROR,False
dns_evt_000159,2026-01-01T02:39:00+00:00,endpoint_0416,service-159.synthetic.example,TXT,NOERROR,False
dns_evt_000160,2026-01-01T02:40:00+00:00,endpoint_0641,service-160.synthetic.example,TXT,NOERROR,False
dns_evt_000161,2026-01-01T02:41:00+00:00,endpoint_0637,service-161.synthetic.example,AAAA,NOERROR,False
dns_evt_000162,2026-01-01T02:42:00+00:00,endpoint_0725,service-162.synthetic.example,AAAA,NOERROR,False
dns_evt_000163,2026-01-01T02:43:00+00:00,endpoint_0381,service-163.synthetic.example,AAAA,NOERROR,False
dns_evt_000164,2026-01-01T02:44:00+00:00,endpoint_0365,service-164.synthetic.example,A,NOERROR,False
dns_evt_000165,2026-01-01T02:45:00+00:00,endpoint_0299,service-165.synthetic.example,AAAA,NOERROR,False
dns_evt_000166,2026-01-01T02:46:00+00:00,endpoint_0459,service-166.synthetic.example,TXT,NOERROR,False
dns_evt_000167,2026-01-01T02:47:00+00:00,endpoint_0627,service-167.synthetic.example,TXT,NOERROR,False
dns_evt_000168,2026-01-01T02:48:00+00:00,endpoint_0961,service-168.synthetic.example,TXT,NOERROR,False
dns_evt_000169,2026-01-01T02:49:00+00:00,endpoint_0424,service-169.synthetic.example,AAAA,NOERROR,False
dns_evt_000170,2026-01-01T02:50:00+00:00,endpoint_0407,service-170.synthetic.example,A,NOERROR,False
dns_evt_000171,2026-01-01T02:51:00+00:00,endpoint_0809,service-171.synthetic.example,TXT,NOERROR,False
dns_evt_000172,2026-01-01T02:52:00+00:00,endpoint_0998,service-172.synthetic.example,AAAA,NOERROR,False
dns_evt_000173,2026-01-01T02:53:00+00:00,endpoint_0766,service-173.synthetic.example,A,NOERROR,False
dns_evt_000174,2026-01-01T02:54:00+00:00,endpoint_0900,service-174.synthetic.example,TXT,NOERROR,False
dns_evt_000175,2026-01-01T02:55:00+00:00,endpoint_0016,service-175.synthetic.example,TXT,NOERROR,False
dns_evt_000176,2026-01-01T02:56:00+00:00,endpoint_0110,service-176.synthetic.example,A,NOERROR,False
dns_evt_000177,2026-01-01T02:57:00+00:00,endpoint_0231,service-177.synthetic.example,A,NOERROR,False
dns_evt_000178,2026-01-01T02:58:00+00:00,endpoint_0257,service-178.synthetic.example,AAAA,NOERROR,False
dns_evt_000179,2026-01-01T02:59:00+00:00,endpoint_0251,service-179.synthetic.example,A,NOERROR,False
dns_evt_000180,2026-01-01T03:00:00+00:00,endpoint_0383,service-180.synthetic.example,AAAA,NOERROR,False
dns_evt_000181,2026-01-01T03:01:00+00:00,endpoint_0292,service-181.synthetic.example,AAAA,NOERROR,False
dns_evt_000182,2026-01-01T03:02:00+00:00,endpoint_0404,service-182.synthetic.example,AAAA,NOERROR,False
dns_evt_000183,2026-01-01T03:03:00+00:00,endpoint_0907,service-183.synthetic.example,TXT,NOERROR,False
dns_evt_000184,2026-01-01T03:04:00+00:00,endpoint_0894,service-184.synthetic.example,A,NOERROR,False
dns_evt_000185,2026-01-01T03:05:00+00:00,endpoint_0333,service-185.synthetic.example,A,NOERROR,False
dns_evt_000186,2026-01-01T03:06:00+00:00,endpoint_0072,service-186.synthetic.example,AAAA,NXDOMAIN,False
dns_evt_000187,2026-01-01T03:07:00+00:00,endpoint_0171,service-187.synthetic.example,AAAA,NOERROR,False
dns_evt_000188,2026-01-01T03:08:00+00:00,endpoint_0316,service-188.synthetic.example,TXT,NOERROR,False
dns_evt_000189,2026-01-01T03:09:00+00:00,endpoint_0811,service-189.synthetic.example,A,NOERROR,False
dns_evt_000190,2026-01-01T03:10:00+00:00,endpoint_0185,service-190.synthetic.example,TXT,NOERROR,False
dns_evt_000191,2026-01-01T03:11:00+00:00,endpoint_0315,service-191.synthetic.example,A,NOERROR,False
dns_evt_000192,2026-01-01T03:12:00+00:00,endpoint_0862,service-192.synthetic.example,A,NOERROR,False
dns_evt_000193,2026-01-01T03:13:00+00:00,endpoint_0713,service-193.synthetic.example,AAAA,NOERROR,False
dns_evt_000194,2026-01-01T03:14:00+00:00,endpoint_0916,service-194.synthetic.example,A,NOERROR,False
dns_evt_000195,2026-01-01T03:15:00+00:00,endpoint_0832,service-195.synthetic.example,TXT,NOERROR,False
dns_evt_000196,2026-01-01T03:16:00+00:00,endpoint_0410,service-196.synthetic.example,TXT,NXDOMAIN,False
dns_evt_000197,2026-01-01T03:17:00+00:00,endpoint_0384,service-197.synthetic.example,A,NOERROR,False
dns_evt_000198,2026-01-01T03:18:00+00:00,endpoint_0955,service-198.synthetic.example,A,NOERROR,False
dns_evt_000199,2026-01-01T03:19:00+00:00,endpoint_0917,service-199.synthetic.example,AAAA,NOERROR,False
dns_evt_000200,2026-01-01T03:20:00+00:00,endpoint_0547,service-200.synthetic.example,TXT,NOERROR,False
dns_evt_000201,2026-01-01T03:21:00+00:00,endpoint_0478,service-201.synthetic.example,TXT,NXDOMAIN,False
dns_evt_000202,2026-01-01T03:22:00+00:00,endpoint_0587,service-202.synthetic.example,A,NOERROR,False
dns_evt_000203,2026-01-01T03:23:00+00:00,endpoint_0408,service-203.synthetic.example,TXT,NOERROR,False
dns_evt_000204,2026-01-01T03:24:00+00:00,endpoint_0295,service-204.synthetic.example,TXT,NOERROR,False
dns_evt_000205,2026-01-01T03:25:00+00:00,endpoint_0552,service-205.synthetic.example,TXT,NOERROR,False
dns_evt_000206,2026-01-01T03:26:00+00:00,endpoint_0718,service-206.synthetic.example,TXT,NOERROR,False
dns_evt_000207,2026-01-01T03:27:00+00:00,endpoint_0972,service-207.synthetic.example,A,NOERROR,False
dns_evt_000208,2026-01-01T03:28:00+00:00,endpoint_0710,service-208.synthetic.example,TXT,NOERROR,False
dns_evt_000209,2026-01-01T03:29:00+00:00,endpoint_0899,service-209.synthetic.example,A,NOERROR,False
dns_evt_000210,2026-01-01T03:30:00+00:00,endpoint_0986,service-210.synthetic.example,TXT,NOERROR,False
dns_evt_000211,2026-01-01T03:31:00+00:00,endpoint_0247,service-211.synthetic.example,A,NOERROR,False
dns_evt_000212,2026-01-01T03:32:00+00:00,endpoint_0511,service-212.synthetic.example,AAAA,NOERROR,False
dns_evt_000213,2026-01-01T03:33:00+00:00,endpoint_0569,service-213.synthetic.example,A,NOERROR,False
dns_evt_000214,2026-01-01T03:34:00+00:00,endpoint_0404,service-214.synthetic.example,A,NOERROR,False
dns_evt_000215,2026-01-01T03:35:00+00:00,endpoint_0408,service-215.synthetic.example,AAAA,NOERROR,False
dns_evt_000216,2026-01-01T03:36:00+00:00,endpoint_0796,service-216.synthetic.example,A,NOERROR,False
dns_evt_000217,2026-01-01T03:37:00+00:00,endpoint_0500,service-217.synthetic.example,AAAA,NOERROR,False
dns_evt_000218,2026-01-01T03:38:00+00:00,endpoint_0620,service-218.synthetic.example,A,NOERROR,False
dns_evt_000219,2026-01-01T03:39:00+00:00,endpoint_0459,service-219.synthetic.example,TXT,NOERROR,False
dns_evt_000220,2026-01-01T03:40:00+00:00,endpoint_0419,service-220.synthetic.example,AAAA,NOERROR,False
dns_evt_000221,2026-01-01T03:41:00+00:00,endpoint_0142,service-221.synthetic.example,AAAA,NOERROR,False
dns_evt_000222,2026-01-01T03:42:00+00:00,endpoint_0008,service-222.synthetic.example,TXT,NOERROR,False
dns_evt_000223,2026-01-01T03:43:00+00:00,endpoint_0306,service-223.synthetic.example,TXT,NOERROR,False
dns_evt_000224,2026-01-01T03:44:00+00:00,endpoint_0913,service-224.synthetic.example,AAAA,NOERROR,False
dns_evt_000225,2026-01-01T03:45:00+00:00,endpoint_0034,service-225.synthetic.example,AAAA,NOERROR,False
dns_evt_000226,2026-01-01T03:46:00+00:00,endpoint_0794,service-226.synthetic.example,AAAA,NXDOMAIN,False
dns_evt_000227,2026-01-01T03:47:00+00:00,endpoint_0662,service-227.synthetic.example,A,NXDOMAIN,False
dns_evt_000228,2026-01-01T03:48:00+00:00,endpoint_0757,service-228.synthetic.example,AAAA,NOERROR,False
dns_evt_000229,2026-01-01T03:49:00+00:00,endpoint_0795,service-229.synthetic.example,TXT,NOERROR,False
dns_evt_000230,2026-01-01T03:50:00+00:00,endpoint_0329,service-230.synthetic.example,AAAA,NOERROR,False
dns_evt_000231,2026-01-01T03:51:00+00:00,endpoint_0714,service-231.synthetic.example,TXT,NXDOMAIN,False
dns_evt_000232,2026-01-01T03:52:00+00:00,endpoint_0226,service-232.synthetic.example,TXT,NOERROR,False
dns_evt_000233,2026-01-01T03:53:00+00:00,endpoint_0179,service-233.synthetic.example,A,NOERROR,False
dns_evt_000234,2026-01-01T03:54:00+00:00,endpoint_0998,service-234.synthetic.example,AAAA,NOERROR,False
dns_evt_000235,2026-01-01T03:55:00+00:00,endpoint_0035,service-235.synthetic.example,AAAA,NOERROR,False
dns_evt_000236,2026-01-01T03:56:00+00:00,endpoint_0603,service-236.synthetic.example,TXT,NOERROR,False
dns_evt_000237,2026-01-01T03:57:00+00:00,endpoint_0034,service-237.synthetic.example,A,NOERROR,False
dns_evt_000238,2026-01-01T03:58:00+00:00,endpoint_0437,service-238.synthetic.example,TXT,NOERROR,False
dns_evt_000239,2026-01-01T03:59:00+00:00,endpoint_0311,service-239.synthetic.example,A,NOERROR,False
dns_evt_000240,2026-01-01T04:00:00+00:00,endpoint_0468,service-240.synthetic.example,A,NOERROR,False
dns_evt_000241,2026-01-01T04:01:00+00:00,endpoint_0752,service-241.synthetic.example,A,NOERROR,False
dns_evt_000242,2026-01-01T04:02:00+00:00,endpoint_0559,service-242.synthetic.example,AAAA,NOERROR,False
dns_evt_000243,2026-01-01T04:03:00+00:00,endpoint_0153,service-243.synthetic.example,A,NOERROR,False
