event_id,timestamp,src_ip,dst_ip,dst_port,action,rule_name,bytes_transferred
fw_evt_000089,2026-01-01T01:29:00+00:00,10.2.89.89,198.51.100.89,22,allow,default_allow,438720
fw_evt_000090,2026-01-01T01:30:00+00:00,10.2.90.90,198.51.100.90,53,allow,egress_monitor,319188
fw_evt_000091,2026-01-01T01:31:00+00:00,10.2.91.91,198.51.100.91,4444,allow,egress_monitor,325686
fw_evt_000092,2026-01-01T01:32:00+00:00,10.2.92.92,198.51.100.92,53,deny,default_allow,15145
fw_evt_000093,2026-01-01T01:33:00+00:00,10.2.93.93,198.51.100.93,443,allow,default_allow,240141
fw_evt_000094,2026-01-01T01:34:00+00:00,10.2.94.94,198.51.100.94,22,allow,block_known_bad,79737
fw_evt_000095,2026-01-01T01:35:00+00:00,10.2.95.95,198.51.100.95,53,allow,egress_monitor,468720
fw_evt_000096,2026-01-01T01:36:00+00:00,10.2.96.96,198.51.100.96,22,allow,egress_monitor,182638
fw_evt_000097,2026-01-01T01:37:00+00:00,10.2.97.97,198.51.100.97,80,allow,default_allow,68060
fw_evt_000098,2026-01-01T01:38:00+00:00,10.2.98.98,198.51.100.98,80,allow,default_allow,307719
fw_evt_000099,2026-01-01T01:39:00+00:00,10.2.99.99,198.51.100.99,53,allow,egress_monitor,99032
fw_evt_000100,2026-01-01T01:40:00+00:00,10.2.100.100,198.51.100.100,443,deny,block_known_bad,354813
fw_evt_000101,2026-01-01T01:41:00+00:00,10.2.101.101,198.51.100.101,53,allow,default_allow,238444
fw_evt_000102,2026-01-01T01:42:00+00:00,10.2.102.102,198.51.100.102,53,allow,block_known_bad,304234
fw_evt_000103,2026-01-01T01:43:00+00:00,10.2.103.103,198.51.100.103,53,deny,block_known_bad,390243
fw_evt_000104,2026-01-01T01:44:00+00:00,10.2.104.104,198.51.100.104,53,allow,block_known_bad,331639
fw_evt_000105,2026-01-01T01:45:00+00:00,10.2.105.105,198.51.100.105,53,deny,block_known_bad,461750
fw_evt_000106,2026-01-01T01:46:00+00:00,10.2.106.106,198.51.100.106,80,allow,block_known_bad,356692
fw_evt_000107,2026-01-01T01:47:00+00:00,10.2.107.107,198.51.100.107,4444,allow,block_known_bad,154960
fw_evt_000108,2026-01-01T01:48:00+00:00,10.2.108.108,198.51.100.108,80,allow,default_allow,238554
fw_evt_000109,2026-01-01T01:49:00+00:00,10.2.109.109,198.51.100.109,4444,allow,egress_monitor,172191
fw_evt_000110,2026-01-01T01:50:00+00:00,10.2.110.110,198.51.100.110,53,allow,block_known_bad,215499
fw_evt_000111,2026-01-01T01:51:00+00:00,10.2.111.111,198.51.100.111,22,deny,block_known_bad,12551
fw_evt_000112,2026-01-01T01:52:00+00:00,10.2.112.112,198.51.100.112,4444,allow,egress_monitor,213563
fw_evt_000113,2026-01-01T01:53:00+00:00,10.2.113.113,198.51.100.113,53,allow,egress_monitor,112568
fw_evt_000114,2026-01-01T01:54:00+00:00,10.2.114.114,198.51.100.114,53,allow,default_allow,496650
fw_evt_000115,2026-01-01T01:55:00+00:00,10.2.115.115,198.51.100.115,53,allow,egress_monitor,181440
fw_evt_000116,2026-01-01T01:56:00+00:00,10.2.116.116,198.51.100.116,53,allow,default_allow,231369
fw_evt_000117,2026-01-01T01:57:00+00:00,10.2.117.117,198.51.100.117,4444,allow,default_allow,432416
fw_evt_000118,2026-01-01T01:58:00+00:00,10.2.118.118,198.51.100.118,443,allow,default_allow,240220
fw_evt_000119,2026-01-01T01:59:00+00:00,10.2.119.119,198.51.100.119,22,allow,egress_monitor,297598
fw_evt_000120,2026-01-01T02:00:00+00:00,10.2.120.120,198.51.100.120,80,allow,block_known_bad,260710
fw_evt_000121,2026-01-01T02:01:00+00:00,10.2.121.121,198.51.100.121,443,deny,default_allow,332656
fw_evt_000122,2026-01-01T02:02:00+00:00,10.2.122.122,198.51.100.122,80,allow,default_allow,125651
fw_evt_000123,2026-01-01T02:03:00+00:00,10.2.123.123,198.51.100.123,53,allow,egress_monitor,261729
fw_evt_000124,2026-01-01T02:04:00+00:00,10.2.124.124,198.51.100.124,80,deny,egress_monitor,400635
fw_evt_000125,2026-01-01T02:05:00+00:00,10.2.125.125,198.51.100.125,22,allow,default_allow,387672
fw_evt_000126,2026-01-01T02:06:00+00:00,10.2.126.126,198.51.100.126,53,allow,block_known_bad,38246
fw_evt_000127,2026-01-01T02:07:00+00:00,10.2.127.127,198.51.100.127,4444,allow,egress_monitor,488557
fw_evt_000128,2026-01-01T02:08:00+00:00,10.2.128.128,198.51.100.128,22,allow,egress_monitor,307727
fw_evt_000129,2026-01-01T02:09:00+00:00,10.2.129.129,198.51.100.129,22,allow,block_known_bad,305166
fw_evt_000130,2026-01-01T02:10:00+00:00,10.2.130.130,198.51.100.130,443,allow,default_allow,406431
fw_evt_000131,2026-01-01T02:11:00+00:00,10.2.131.131,198.51.100.131,443,allow,egress_monitor,317093
fw_evt_000132,2026-01-01T02:12:00+00:00,10.2.132.132,198.51.100.132,4444,allow,default_allow,363308
fw_evt_000133,2026-01-01T02:13:00+00:00,10.2.133.133,198.51.100.133,80,allow,default_allow,300984
fw_evt_000134,2026-01-01T02:14:00+00:00,10.2.134.134,198.51.100.134,22,deny,block_known_bad,448759
fw_evt_000135,2026-01-01T02:15:00+00:00,10.2.135.135,198.51.100.135,22,allow,egress_monitor,259162
fw_evt_000136,2026-01-01T02:16:00+00:00,10.2.136.136,198.51.100.136,443,allow,egress_monitor,116215
fw_evt_000137,2026-01-01T02:17:00+00:00,10.2.137.137,198.51.100.137,22,allow,block_known_bad,358247
fw_evt_000138,2026-01-01T02:18:00+00:00,10.2.138.138,198.51.100.138,53,deny,block_known_bad,459903
fw_evt_000139,2026-01-01T02:19:00+00:00,10.2.139.139,198.51.100.139,53,allow,block_known_bad,472977
fw_evt_000140,2026-01-01T02:20:00+00:00,10.2.140.140,198.51.100.140,443,allow,default_allow,368323
fw_evt_000141,2026-01-01T02:21:00+00:00,10.2.141.141,198.51.100.141,53,allow,block_known_bad,115809
fw_evt_000142,2026-01-01T02:22:00+00:00,10.2.142.142,198.51.100.142,53,allow,default_allow,82568
fw_evt_000143,2026-01-01T02:23:00+00:00,10.2.143.143,198.51.100.143,443,deny,block_known_bad,472680
fw_evt_000144,2026-01-01T02:24:00+00:00,10.2.144.144,198.51.100.144,80,allow,block_known_bad,336480
fw_evt_000145,2026-01-01T02:25:00+00:00,10.2.145.145,198.51.100.145,443,deny,egress_monitor,318894
fw_evt_000146,2026-01-01T02:26:00+00:00,10.2.146.146,198.51.100.146,53,allow,default_allow,293913
fw_evt_000147,2026-01-01T02:27:00+00:00,10.2.147.147,198.51.100.147,443,allow,block_known_bad,202357
fw_evt_000148,2026-01-01T02:28:00+00:00,10.2.148.148,198.51.100.148,53,allow,default_allow,277174
fw_evt_000149,2026-01-01T02:29:00+00:00,10.2.149.149,198.51.100.149,443,allow,block_known_bad,174274
fw_evt_000150,2026-01-01T02:30:00+00:00,10.2.150.150,198.51.100.150,4444,allow,default_allow,304084
fw_evt_000151,2026-01-01T02:31:00+00:00,10.2.151.151,198.51.100.151,4444,deny,egress_monitor,458877
fw_evt_000152,2026-01-01T02:32:00+00:00,10.2.152.152,198.51.100.152,443,allow,default_allow,93413
fw_evt_000153,2026-01-01T02:33:00+00:00,10.2.153.153,198.51.100.153,4444,allow,block_known_bad,381162
fw_evt_000154,2026-01-01T02:34:00+00:00,10.2.154.154,198.51.100.154,53,allow,egress_monitor,279214
fw_evt_000155,2026-01-01T02:35:00+00:00,10.2.155.155,198.51.100.155,80,allow,block_known_bad,497631
fw_evt_000156,2026-01-01T02:36:00+00:00,10.2.156.156,198.51.100.156,443,allow,default_allow,191264
fw_evt_000157,2026-01-01T02:37:00+00:00,10.2.157.157,198.51.100.157,22,allow,default_allow,385127
fw_evt_000158,2026-01-01T02:38:00+00:00,10.2.158.158,198.51.100.158,53,allow,block_known_bad,140359
fw_evt_000159,2026-01-01T02:39:00+00:00,10.2.159.159,198.51.100.159,4444,allow,egress_monitor,50938
fw_evt_000160,2026-01-01T02:40:00+00:00,10.2.160.160,198.51.100.160,443,deny,egress_monitor,498966
fw_evt_000161,2026-01-01T02:41:00+00:00,10.2.161.161,198.51.100.161,80,allow,block_known_bad,351738
fw_evt_000162,2026-01-01T02:42:00+00:00,10.2.162.162,198.51.100.162,4444,allow,block_known_bad,108728
fw_evt_000163,2026-01-01T02:43:00+00:00,10.2.163.163,198.51.100.163,22,deny,egress_monitor,174207
fw_evt_000164,2026-01-01T02:44:00+00:00,10.2.164.164,198.51.100.164,22,allow,egress_monitor,453941
fw_evt_000165,2026-01-01T02:45:00+00:00,10.2.165.165,198.51.100.165,53,allow,block_known_bad,6267
fw_evt_000166,2026-01-01T02:46:00+00:00,10.2.166.166,198.51.100.166,53,allow,egress_monitor,442123
fw_evt_000167,2026-01-01T02:47:00+00:00,10.2.167.167,198.51.100.167,80,allow,egress_monitor,3274
fw_evt_000168,2026-01-01T02:48:00+00:00,10.2.168.168,198.51.100.168,22,allow,block_known_bad,333027
fw_evt_000169,2026-01-01T02:49:00+00:00,10.2.169.169,198.51.100.169,4444,deny,egress_monitor,424822
fw_evt_000170,2026-01-01T02:50:00+00:00,10.2.170.170,198.51.100.170,80,allow,egress_monitor,91391
fw_evt_000171,2026-01-01T02:51:00+00:00,10.2.171.171,198.51.100.171,443,allow,block_known_bad,117828
fw_evt_000172,2026-01-01T02:52:00+00:00,10.2.172.172,198.51.100.172,443,allow,egress_monitor,107538
fw_evt_000173,2026-01-01T02:53:00+00:00,10.2.173.173,198.51.100.173,443,deny,default_allow,414
fw_evt_000174,2026-01-01T02:54:00+00:00,10.2.174.174,198.51.100.174,80,allow,egress_monitor,412974
fw_evt_000175,2026-01-01T02:55:00+00:00,10.2.175.175,198.51.100.175,80,allow,egress_monitor,245232
fw_evt_000176,2026-01-01T02:56:00+00:00,10.2.176.176,198.51.100.176,4444,allow,block_known_bad,34115
fw_evt_000177,2026-01-01T02:57:00+00:00,10.2.177.177,198.51.100.177,53,allow,egress_monitor,362397
fw_evt_000178,2026-01-01T02:58:00+00:00,10.2.178.178,198.51.100.178,22,allow,block_known_bad,219210
fw_evt_000179,2026-01-01T02:59:00+00:00,10.2.179.179,198.51.100.179,443,deny,default_allow,227974
fw_evt_000180,2026-01-01T03:00:00+00:00,10.2.180.180,198.51.100.180,22,allow,default_allow,207959
fw_evt_000181,2026-01-01T03:01:00+00:00,10.2.181.181,198.51.100.181,80,allow,default_allow,66601
fw_evt_000182,2026-01-01T03:02:00+00:00,10.2.182.182,198.51.100.182,4444,allow,default_allow,27214
fw_evt_000183,2026-01-01T03:03:00+00:00,10.2.183.183,198.51.100.183,53,allow,block_known_bad,6382
fw_evt_000184,2026-01-01T03:04:00+00:00,10.2.184.184,198.51.100.184,4444,allow,block_known_bad,29421
fw_evt_000185,2026-01-01T03:05:00+00:00,10.2.185.185,198.51.100.185,22,allow,block_known_bad,295473
fw_evt_000186,2026-01-01T03:06:00+00:00,10.2.186.186,198.51.100.186,22,allow,block_known_bad,484785
fw_evt_000187,2026-01-01T03:07:00+00:00,10.2.187.187,198.51.100.187,4444,allow,egress_monitor,50932
fw_evt_000188,2026-01-01T03:08:00+00:00,10.2.188.188,198.51.100.188,443,allow,egress_monitor,201122
fw_evt_000189,2026-01-01T03:09:00+00:00,10.2.189.189,198.51.100.189,4444,allow,block_known_bad,101447
fw_evt_000190,2026-01-01T03:10:00+00:00,10.2.190.190,198.51.100.190,53,allow,egress_monitor,35048
fw_evt_000191,2026-01-01T03:11:00+00:00,10.2.191.191,198.51.100.191,4444,allow,block_known_bad,491270
fw_evt_000192,2026-01-01T03:12:00+00:00,10.2.192.192,198.51.100.192,53,allow,default_allow,25670
fw_evt_000193,2026-01-01T03:13:00+00:00,10.2.193.193,198.51.100.193,22,allow,egress_monitor,424968
fw_evt_000194,2026-01-01T03:14:00+00:00,10.2.194.194,198.51.100.194,80,allow,egress_monitor,54745
fw_evt_000195,2026-01-01T03:15:00+00:00,10.2.195.195,198.51.100.195,80,allow,egress_monitor,107518
fw_evt_000196,2026-01-01T03:16:00+00:00,10.2.196.196,198.51.100.196,53,allow,default_allow,490064
fw_evt_000197,2026-01-01T03:17:00+00:00,10.2.197.197,198.51.100.197,4444,allow,block_known_bad,435437
fw_evt_000198,2026-01-01T03:18:00+00:00,10.2.198.198,198.51.100.198,53,allow,default_allow,69184
fw_evt_000199,2026-01-01T03:19:00+00:00,10.2.199.199,198.51.100.199,53,allow,default_allow,24314
fw_evt_000200,2026-01-01T03:20:00+00:00,10.2.200.0,198.51.100.200,53,allow,default_allow,151185
fw_evt_000201,2026-01-01T03:21:00+00:00,10.2.201.1,198.51.100.201,443,allow,egress_monitor,9847
fw_evt_000202,2026-01-01T03:22:00+00:00,10.2.202.2,198.51.100.202,22,allow,default_allow,243052
fw_evt_000203,2026-01-01T03:23:00+00:00,10.2.203.3,198.51.100.203,53,allow,egress_monitor,466083
fw_evt_000204,2026-01-01T03:24:00+00:00,10.2.204.4,198.51.100.204,443,allow,egress_monitor,306339
fw_evt_000205,2026-01-01T03:25:00+00:00,10.2.205.5,198.51.100.205,80,allow,block_known_bad,116194
fw_evt_000206,2026-01-01T03:26:00+00:00,10.2.206.6,198.51.100.206,22,deny,default_allow,325203
fw_evt_000207,2026-01-01T03:27:00+00:00,10.2.207.7,198.51.100.207,443,allow,default_allow,133305
fw_evt_000208,2026-01-01T03:28:00+00:00,10.2.208.8,198.51.100.208,4444,allow,default_allow,23431
fw_evt_000209,2026-01-01T03:29:00+00:00,10.2.209.9,198.51.100.209,53,allow,block_known_bad,340547
fw_evt_000210,2026-01-01T03:30:00+00:00,10.2.210.10,198.51.100.210,80,allow,egress_monitor,426400
fw_evt_000211,2026-01-01T03:31:00+00:00,10.2.211.11,198.51.100.211,22,allow,egress_monitor,404412
fw_evt_000212,2026-01-01T03:32:00+00:00,10.2.212.12,198.51.100.212,443,allow,block_known_bad,37240
fw_evt_000213,2026-01-01T03:33:00+00:00,10.2.213.13,198.51.100.213,443,allow,default_allow,15595
fw_evt_000214,2026-01-01T03:34:00+00:00,10.2.214.14,198.51.100.214,53,allow,block_known_bad,87223
fw_evt_000215,2026-01-01T03:35:00+00:00,10.2.215.15,198.51.100.215,53,deny,egress_monitor,387388
fw_evt_000216,2026-01-01T03:36:00+00:00,10.2.216.16,198.51.100.216,22,allow,default_allow,167540
fw_evt_000217,2026-01-01T03:37:00+00:00,10.2.217.17,198.51.100.217,4444,allow,default_allow,133547
fw_evt_000218,2026-01-01T03:38:00+00:00,10.2.218.18,198.51.100.218,4444,allow,default_allow,497249
fw_evt_000219,2026-01-01T03:39:00+00:00,10.2.219.19,198.51.100.219,53,deny,default_allow,293005
fw_evt_000220,2026-01-01T03:40:00+00:00,10.2.220.20,198.51.100.220,443,deny,egress_monitor,406085
fw_evt_000221,2026-01-01T03:41:00+00:00,10.2.221.21,198.51.100.221,4444,allow,egress_monitor,360401
fw_evt_000222,2026-01-01T03:42:00+00:00,10.2.222.22,198.51.100.222,80,allow,block_known_bad,311981
fw_evt_000223,2026-01-01T03:43:00+00:00,10.2.223.23,198.51.100.223,80,allow,egress_monitor,104083
fw_evt_000224,2026-01-01T03:44:00+00:00,10.2.224.24,198.51.100.224,443,allow,default_allow,404245
fw_evt_000225,2026-01-01T03:45:00+00:00,10.2.225.25,198.51.100.225,53,allow,default_allow,54874
fw_evt_000226,2026-01-01T03:46:00+00:00,10.2.226.26,198.51.100.226,22,deny,default_allow,163342
fw_evt_000227,2026-01-01T03:47:00+00:00,10.2.227.27,198.51.100.227,443,allow,egress_monitor,203731
fw_evt_000228,2026-01-01T03:48:00+00:00,10.2.228.28,198.51.100.228,53,allow,egress_monitor,125142
fw_evt_000229,2026-01-01T03:49:00+00:00,10.2.229.29,198.51.100.229,22,allow,block_known_bad,425503
fw_evt_000230,2026-01-01T03:50:00+00:00,10.2.230.30,198.51.100.230,4444,allow,default_allow,260031
fw_evt_000231,2026-01-01T03:51:00+00:00,10.2.231.31,198.51.100.231,53,allow,default_allow,438201
fw_evt_000232,2026-01-01T03:52:00+00:00,10.2.232.32,198.51.100.232,443,allow,egress_monitor,350886
fw_evt_000233,2026-01-01T03:53:00+00:00,10.2.233.33,198.51.100.233,22,allow,block_known_bad,386305
fw_evt_000234,2026-01-01T03:54:00+00:00,10.2.234.34,198.51.100.234,53,allow,egress_monitor,121509
fw_evt_000235,2026-01-01T03:55:00+00:00,10.2.235.35,198.51.100.235,53,deny,block_known_bad,94136
fw_evt_000236,2026-01-01T03:56:00+00:00,10.2.236.36,198.51.100.236,443,allow,egress_monitor,234933
fw_evt_000237,2026-01-01T03:57:00+00:00,10.2.237.37,198.51.100.237,80,deny,egress_monitor,46547
fw_evt_000238,2026-01-01T03:58:00+00:00,10.2.238.38,198.51.100.238,80,allow,block_known_bad,88884
fw_evt_000239,2026-01-01T03:59:00+00:00,10.2.239.39,198.51.100.239,4444,allow,egress_monitor,208496
fw_evt_000240,2026-01-01T04:00:00+00:00,10.2.240.40,198.51.100.240,443,allow,egress_monitor,119402
fw_evt_000241,2026-01-01T04:01:00+00:00,10.2.241.41,198.51.100.241,80,allow,block_known_bad,431049
fw_evt_000242,2026-01-01T04:02:00+00:00,10.2.242.42,198.51.100.242,80,deny,default_allow,215308
fw_evt_000243,2026-01-01T04:03:00+00:00,10.2.243.43,198.51.100.243,443,allow,block_known_bad,146685
fw_evt_000244,2026-01-01T04:04:00+00:00,10.2.244.44,198.51.100.244,53,allow,block_known_bad,365659
fw_evt_000245,2026-01-01T04:05:00+00:00,10.2.245.45,198.51.100.245,4444,allow,default_allow,114013
